Series_id,graderingsdatum,delomrade,ekologisk,forforfrukt,forfrukt,groda,jordart,lan,plojt,sadatum,skordear,sort,broddbehandling,utplaceringsdatumFalla,graderingstyp,utvecklingsstadium,matmetod,Gräsbladlus,Havrebladlus,Kornets bladfläcksjuka,Kornrost,Mjöldagg,Sköldfläcksjuka,Sädesbladlus,week,geometry,Lufttemperatur_min,Lufttemperatur_max,Nederbördsmängd_sum,Nederbördsmängd_max,Solskenstid_sum,Daggpunktstemperatur_mean,Daggpunktstemperatur_max,Relativ Luftfuktighet_mean,Långvågs-Irradians_mean
1,2016-05-16,Blekinge,False,Höstvete,Höstvete,Vårkorn,Sandjord (<5 % ler),Blekinge län,True,2016-04-04,2016,Propino,,,Veckovis,23.0,antal/strå,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,POINT (15.096740939135264 56.214881993005214),7.333333333333333,14.799999999999999,14.099999999999998,9.399999999999999,229371.33333333334,5.643961352657006,10.299999999999999,73.24422015182884,310.04069444444445
1,2016-05-23,Blekinge,False,Höstvete,Höstvete,Vårkorn,Sandjord (<5 % ler),Blekinge län,True,2016-04-04,2016,Propino,,,Veckovis,24.0,antal/strå,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,POINT (15.096740939135264 56.214881993005214),8.833333333333334,17.099999999999998,0.1,0.1,188188.6666666667,8.943872733546648,13.133333333333333,79.65593826463392,325.83660714285713
1,2016-05-30,Blekinge,False,Höstvete,Höstvete,Vårkorn,Sandjord (<5 % ler),Blekinge län,True,2016-04-04,2016,Propino,,,Veckovis,31.0,antal/strå,0.0,0.01,0.0,0.0,0.01,0.0,0.0,22,POINT (15.096740939135264 56.214881993005214),12.4,19.0,3.05,2.75,262242.6666666666,11.01790027605245,15.700000000000001,75.38793995859214,337.0726587301587
1,2016-06-06,Blekinge,False,Höstvete,Höstvete,Vårkorn,Sandjord (<5 % ler),Blekinge län,True,2016-04-04,2016,Propino,,,Veckovis,39.0,antal/strå,0.08,0.6,0.0,0.0,2.0,0.0,0.04,23,POINT (15.096740939135264 56.214881993005214),13.533333333333333,20.8,1.4,1.4,344354.3333333333,11.475414078674948,16.0,67.9569530710835,323.5395833333333
1,2016-06-13,Blekinge,False,Höstvete,Höstvete,Vårkorn,Sandjord (<5 % ler),Blekinge län,True,2016-04-04,2016,Propino,,,Veckovis,45.0,antal/strå,0.0,0.16,0.0,0.0,4.0,0.0,0.04,24,POINT (15.096740939135264 56.214881993005214),10.700000000000001,16.333333333333332,5.35,3.75,258753.33333333334,8.186335403726707,14.333333333333334,71.77881297446514,302.8254563492063
1,2016-06-20,Blekinge,False,Höstvete,Höstvete,Vårkorn,Sandjord (<5 % ler),Blekinge län,True,2016-04-04,2016,Propino,,,Veckovis,53.0,antal/strå,0.0,0.0,0.0,0.0,4.0,2.0,0.0,25,POINT (15.096740939135264 56.214881993005214),14.166666666666666,17.233333333333334,19.15,12.1,137580.33333333334,12.409722222222223,15.800000000000002,82.93650793650794,344.13878968253965
1,2016-06-27,Blekinge,False,Höstvete,Höstvete,Vårkorn,Sandjord (<5 % ler),Blekinge län,True,2016-04-04,2016,Propino,,,Veckovis,73.0,antal/strå,0.0,0.0,4.0,0.01,16.0,0.0,0.2,26,POINT (15.096740939135264 56.214881993005214),15.966666666666669,23.333333333333332,3.4,1.5,240308.0,15.87579365079365,20.8,81.77380952380952,360.03767857142856
1,2016-07-04,Blekinge,False,Höstvete,Höstvete,Vårkorn,Sandjord (<5 % ler),Blekinge län,True,2016-04-04,2016,Propino,,,Veckovis,83.0,antal/strå,0.0,0.0,6.0,24.0,16.0,0.0,0.01,27,POINT (15.096740939135264 56.214881993005214),14.200000000000001,17.933333333333334,24.9,10.25,154640.33333333334,13.35388321995465,18.366666666666667,83.10175736961453,343.283492063492
2,2016-05-09,Blekinge,False,Vårkorn,Höstkorn,Vårkorn,Sandjord (<5 % ler),Blekinge län,True,2016-04-11,2016,Anakin,,,Veckovis,11.0,antal/strå,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,POINT (15.112943656526825 56.241822112303524),9.1,15.1,0.0,0.0,352121.0,4.9529934437543135,8.866666666666665,64.1298309178744,288.27676587301585
2,2016-05-16,Blekinge,False,Vårkorn,Höstkorn,Vårkorn,Sandjord (<5 % ler),Blekinge län,True,2016-04-11,2016,Anakin,,,Veckovis,22.0,antal/strå,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,POINT (15.112943656526825 56.241822112303524),7.333333333333333,14.799999999999999,14.099999999999998,9.399999999999999,229371.33333333334,5.643961352657006,10.299999999999999,73.24422015182884,310.04069444444445
2,2016-05-23,Blekinge,False,Vårkorn,Höstkorn,Vårkorn,Sandjord (<5 % ler),Blekinge län,True,2016-04-11,2016,Anakin,,,Veckovis,23.0,antal/strå,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,POINT (15.112943656526825 56.241822112303524),8.833333333333334,17.099999999999998,0.1,0.1,188188.6666666667,8.943872733546648,13.133333333333333,79.65593826463392,325.83660714285713
2,2016-05-30,Blekinge,False,Vårkorn,Höstkorn,Vårkorn,Sandjord (<5 % ler),Blekinge län,True,2016-04-11,2016,Anakin,,,Veckovis,31.0,antal/strå,0.0,0.01,0.01,0.0,0.0,0.01,0.0,22,POINT (15.112943656526825 56.241822112303524),12.4,19.0,3.05,2.75,262242.6666666666,11.01790027605245,15.700000000000001,75.38793995859214,337.0726587301587
2,2016-06-06,Blekinge,False,Vårkorn,Höstkorn,Vårkorn,Sandjord (<5 % ler),Blekinge län,True,2016-04-11,2016,Anakin,,,Veckovis,39.0,antal/strå,0.0,0.56,2.0,0.0,0.0,0.01,0.0,23,POINT (15.112943656526825 56.241822112303524),13.533333333333333,20.8,1.4,1.4,344354.3333333333,11.475414078674948,16.0,67.9569530710835,323.5395833333333
2,2016-06-13,Blekinge,False,Vårkorn,Höstkorn,Vårkorn,Sandjord (<5 % ler),Blekinge län,True,2016-04-11,2016,Anakin,,,Veckovis,45.0,antal/strå,0.0,0.12,2.0,0.0,0.0,0.01,0.12,24,POINT (15.112943656526825 56.241822112303524),10.700000000000001,16.333333333333332,5.35,3.75,258753.33333333334,8.186335403726707,14.333333333333334,71.77881297446514,302.8254563492063
2,2016-06-20,Blekinge,False,Vårkorn,Höstkorn,Vårkorn,Sandjord (<5 % ler),Blekinge län,True,2016-04-11,2016,Anakin,,,Veckovis,61.0,antal/strå,0.0,0.01,2.0,0.0,0.0,0.01,0.0,25,POINT (15.112943656526825 56.241822112303524),14.166666666666666,17.233333333333334,19.15,12.1,137580.33333333334,12.409722222222223,15.800000000000002,82.93650793650794,344.13878968253965
2,2016-06-27,Blekinge,False,Vårkorn,Höstkorn,Vårkorn,Sandjord (<5 % ler),Blekinge län,True,2016-04-11,2016,Anakin,,,Veckovis,73.0,antal/strå,0.0,0.0,16.0,0.0,0.0,4.0,0.16,26,POINT (15.112943656526825 56.241822112303524),15.966666666666669,23.333333333333332,3.4,1.5,240308.0,15.87579365079365,20.8,81.77380952380952,360.03767857142856
