Model,Crop Pest Combination,R2,MAE,MSE,Count,Data_size
SVR,Ragvete_Mjöldagg,0.8165868833508729,6.467307890859588,120.91587632316626,1,2312
HistGradientBoostingRegressor,Hostvete_Gulrost,0.8797623605889654,0.8858796328114011,11.47924489049429,1,19595
DecisionTreeRegressor,Hostvete_Gulrost,0.745685056716338,1.1511931905321813,24.279780670722356,1,19595
XGBRegressor,Hostvete_Gulrost,0.8642772189627194,0.9683905413143085,12.957631639954636,1,19595
FFNN,Hostvete_Gulrost,0.8479969440391115,0.9240310368973914,14.511930806572476,1,19595
SVR,Hostvete_Gulrost,0.8666714251425209,1.4846860487972249,12.729053640661723,1,19595
HistGradientBoostingRegressor,Varkorn_Sköldfläcksjuka,0.6142128647838005,0.5455344081132538,4.68727313903949,1,10041
DecisionTreeRegressor,Varkorn_Sköldfläcksjuka,0.21733103606603676,0.6380774605709723,9.509345637851867,1,10041
XGBRegressor,Varkorn_Sköldfläcksjuka,0.5163016090721062,0.6121615549747402,5.8768846035323605,1,10041
FFNN,Varkorn_Sköldfläcksjuka,-0.054087202521623245,1.0462924789698909,12.807048705281495,1,10041
SVR,Varkorn_Sköldfläcksjuka,0.6162909115510746,1.1472289130426827,4.662025089260815,1,10041
HistGradientBoostingRegressor,Varkorn_Mjöldagg,0.7813366090652498,0.7600189576147313,11.059192428688773,1,10041
DecisionTreeRegressor,Varkorn_Mjöldagg,0.5600403874369859,0.9154184142200918,22.251543778709806,1,10041
XGBRegressor,Varkorn_Mjöldagg,0.747092515035849,0.8229414634609873,12.791133124377813,1,10041
FFNN,Varkorn_Mjöldagg,0.782116195847172,0.6607203455054836,11.019763788168365,1,10041
SVR,Varkorn_Mjöldagg,0.7942151655745728,1.3196897574743187,10.407842268831212,1,10041
HistGradientBoostingRegressor,Varkorn_Kornets bladfläcksjuka,0.7989351411745291,2.860852366941782,45.99217053316665,1,10041
DecisionTreeRegressor,Varkorn_Kornets bladfläcksjuka,0.6056286733643568,3.6565245181264356,90.20966375711573,1,10041
