Model,R2,MAE,MSE
HistGradientBoostingRegressor,0.7220706109762028,2.5786656048170893,39.16338033710172
SVR,0.7474821724409159,2.7084122132899933,40.81669290873284
XGBRegressor,0.7101653284153765,2.69589853988721,42.62029265658602
FFNN,0.4721092597140342,3.516901881940122,64.65392252899227
DecisionTreeRegressor,0.5144719131895786,3.224296470367434,76.73527853640844
