varde
0.0
0.12
0.02
0.3
0.03333333333333333
0.1
0.08
0.16
0.24
0.42
0.42
0.04
0.08
0.26
0.22
0.2
0.18
0.0
0.02
0.0
0.0
0.07
0.0001
0.0
0.14
0.06
0.48
0.11333333333333334
0.12
0.22
0.21
0.26
0.24
0.3
0.1
0.45
0.0
0.3
0.26
0.12
0.04
0.0
0.14
0.095
0.0
0.38
0.06
0.0
0.0
0.0
0.22
0.2
0.1
0.0
0.0
0.28
0.04
0.12
0.14
0.08
0.02
0.01
0.12
0.0
0.04
0.02
0.04
0.08
0.02
0.08
0.0
0.02
0.0
0.0
0.22
0.0
0.09005
0.02
0.04
0.08
0.0
0.0
0.02
0.0
0.04
0.0
0.0
0.0
0.0
0.0
0.24
0.02
0.41
0.2
0.2
0.0001
0.0
0.2
0.1
0.68
0.16666666666666669
0.12
0.2
0.06
0.37666666666666665
0.28
0.24
0.31
0.56
0.3
0.48
0.0
0.28
0.32
0.36
0.32
0.6
0.64
0.16
0.08
0.2
0.62
0.06
0.06
0.135
0.16
0.02
0.7
0.06
0.12
0.04
0.0
0.3
0.56
0.1
0.0
0.02
0.28
0.04
0.12
0.16
0.0
0.0
0.03
0.08
0.1
0.08
0.06
0.04
0.0
0.04
0.04
0.0
0.06
0.14
0.11
0.0
0.25
0.5
0.04
0.06
0.06
0.76
0.7
0.0
0.18
0.66
0.06
0.02
0.64
0.46
0.28
0.1
0.02
0.0
0.15
0.4
0.04
0.0001
0.36
0.1
0.0
0.4
0.04
0.41333333333333333
0.76
0.19
0.0
0.13005
0.001
0.04
0.22
0.07
0.0
0.25
0.04
0.2
0.18
0.01
0.06
0.0001
0.0
0.0
0.0
0.02
0.0
0.02005
0.02
0.18
0.02
0.04
0.0
0.04
0.0
0.0
0.03
0.0
0.02
0.0
0.26
0.04
0.2
0.5
0.26
0.0001
0.28
0.14
0.9
0.29333333333333333
0.2
0.22
0.28
0.44
0.43666666666666665
0.4
0.42
0.56
0.24
0.64
0.06
0.28
0.32
0.48
0.94
0.88
0.18
0.08
0.4
0.88
0.14
0.2
0.21
0.195
0.16
0.7
0.04
0.3
0.04
0.02
0.3
0.28
0.28
0.0
0.06
0.28
0.04
0.12
0.04
0.24
0.06
0.12
0.08
0.04
0.0
0.0
0.05
0.0
0.06
0.0
0.43
0.74
0.425
0.0001
0.64
0.48
0.4
0.0
0.28
0.38
0.1
0.82
0.8
0.06
0.64
0.1
0.02
0.03
0.72
0.16
0.72
0.24
0.16
0.45
0.26
0.06
0.0
0.68
0.01
0.06
0.22
0.0001
0.03
0.2
0.04
0.0
0.0
0.5
0.8
0.26
0.12
0.4
0.42
0.0
0.1
0.2
0.07
0.17
0.07
0.0
0.28
0.18
0.05
0.4
0.01
0.28
0.0
0.0001
0.1
0.46
0.3
0.79
0.04
0.0
0.0
0.0
0.32
0.0
0.0
0.1
0.08
0.1
0.04
0.0
0.12
0.0
0.0001
0.2
0.0
0.0
0.49
0.11
0.18
0.15333333333333335
0.2
0.26
0.06
0.04
0.0
0.36
0.12
0.29
0.1
0.03
0.0
0.28
0.26
0.02
0.18
0.74
0.04
0.22
0.25
0.26
0.0
0.1
0.08
0.06
0.24
0.0
0.0001
0.54
0.06
0.0
0.0
0.06
0.0
5e-05
0.0
0.22
0.04
0.05
0.02
0.04
0.03
0.0
0.0
0.04
0.3
0.04
0.8
0.2
0.5
0.3
0.0003
0.0
0.36
0.22
1.0
0.43333333333333335
0.5
0.26
0.54
0.5
0.5633333333333334
0.4
0.68
0.38
0.8
0.3
0.72
0.12
0.5
0.5
0.4
0.7
1.0
1.0
0.5
0.98
0.02
0.325
0.7
0.06
0.28
0.14
0.04
0.005
0.56
0.28
0.0
0.04
0.28
0.0
0.12
0.46
0.12
0.06
0.05
0.12
0.28
0.06
0.08
0.08
0.04
0.0
0.3
0.0
0.04
0.06
0.11
0.06
0.0
0.0001
0.98
0.36
0.56
0.54
0.34
0.34
0.6
0.36
0.15
0.25
0.0001
0.08
0.64
0.66
0.06
0.04
0.1
0.32
0.1
0.25
0.06
0.03
0.08
0.1
0.1
0.02
0.34
0.1
0.02
0.0001
0.08
0.7
0.42
0.72
0.1
0.03
0.078
0.3
0.06
0.1
0.02
0.0001
0.62
0.15005000000000002
0.0
0.44
0.38
0.22
0.3
0.0
0.0
0.4
0.02
0.92
0.8
0.13
0.34
0.0001
0.0
0.16
0.74
0.32
0.0475
0.03336666666666666
0.0
0.0
0.0
0.0
0.06
0.0
0.1
0.0
0.06
